kor_co_nm: 애큐온저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점,인터넷,스마트폰,전화(텔레뱅킹) | mtrt_int: 만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용) 만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용) | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 대백저축은행 | fin_prdt_nm: 꿈나무정기적금 | join_way: 영업점 | mtrt_int: *1개월이내-약정이율과 현행이율중 낮은이율  *1개월 초과-보통예금이율(0.2%) | spcl_cnd: 해당없음 | join_deny: 1 | join_member: 만13세 미만어린이 | max_limit: None
kor_co_nm: 대백저축은행 | fin_prdt_nm: 한마음정기적금 | join_way: 영업점 | mtrt_int: 1개월이내-약정이율과 현행이율중 낮은이율 1개월 초과-보통예금이율(0.2%) | spcl_cnd: 해당없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 대백저축은행 | fin_prdt_nm: 꿈나무정기적금 | join_way: 영업점 | mtrt_int: 1개월이내-약정이율과 현행이율중 낮은이율 1개월 초과-보통예금이율(0.2%) | spcl_cnd: 해당없음 | join_deny: 3 | join_member: 만13세미만어린이 | max_limit: None
kor_co_nm: 대백저축은행 | fin_prdt_nm: 애플정기적금 | join_way: 인터넷,스마트폰 | mtrt_int: 1개월이내-약정이율과 현행이율중 낮은이율 1개월 초과-보통예금이율(0.2%) | spcl_cnd: 해당없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 유니온상호저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점,인터넷,스마트폰 | mtrt_int: *1개월이내 : 약정이율과 현행이율 중 낮은 이율 *1개월초과: 보통예금이율 | spcl_cnd: 전자금융(인터넷,스마트폰 뱅킹), 비대면 SB톡톡으로 가입시에도 동일한 금리 적용 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 유니온상호저축은행 | fin_prdt_nm: e-정기적금 | join_way: 인터넷,스마트폰 | mtrt_int: *1개월이내 : 약정이율과 현행이율 중 낮은 이율 *1개월초과: 보통예금이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 엠에스상호저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점,인터넷,스마트폰 | mtrt_int: - 만기후 1개월간은 당초 약정금리와 당초 약정기간에 해당하는 현행금리 중 낮은 금리를 적용하고 만기후 1개월 경과시는 보통예금이자율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 없음 | max_limit: None
kor_co_nm: 안국저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점 | mtrt_int: 0.002 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 안국저축은행 | fin_prdt_nm: e-정기적금 | join_way: 인터넷,스마트폰 | mtrt_int: 0.002 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 안국저축은행 | fin_prdt_nm: 정기적금(비대면) | join_way: 스마트폰 | mtrt_int: 0.002 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 남양저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점 | mtrt_int: 만기 후 한 달까지 약정금리-현행금리 비교하여 낮은 금리 적용, 이후 0.1% | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 남양저축은행 | fin_prdt_nm: e-정기적금 | join_way: 인터넷,스마트폰 | mtrt_int: 만기 후 한 달까지 약정금리-현행금리 비교하여 낮은 금리 적용, 이후 0.1% | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 남양저축은행 | fin_prdt_nm: 비대면-정기적금 | join_way: 스마트폰 | mtrt_int: 만기 후 한 달까지 약정금리-현행금리 비교하여 낮은 금리 적용, 이후 0.1% | spcl_cnd: 없음 | join_deny: 1 | join_member: 만19세이상 내국인 개인고객, 본인 스마트폰 소지자, 신분증(주민등록증 또는 운전면허증)소지자, 최근 30일이내 전은행에서 입출금통장 개설내역이 없는 고객, 미국인 납세자에 해당하지 않는 고객 | max_limit: None
kor_co_nm: 부림저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점 | mtrt_int: - 만기후 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은금리 - 만기후 1개월 초과 : 연 0.25% | spcl_cnd: 없음 | join_deny: 1 | join_member: 개인 및 법인고객 | max_limit: None
kor_co_nm: 부림저축은행 | fin_prdt_nm: e-정기적금 | join_way: 인터넷,스마트폰 | mtrt_int: - 만기후 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은금리 - 만기후 1개월 초과 : 연 0.25% | spcl_cnd: 인터넷으로 가입 | join_deny: 1 | join_member: 개인 및 법인고객 | max_limit: None
kor_co_nm: 부림저축은행 | fin_prdt_nm: 아이사랑 정기적금 | join_way: 영업점 | mtrt_int: - 만기후 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은금리 - 만기후 1개월 초과 : 연 0.25% | spcl_cnd: 미취학아동과 부모님이 함께 가입하는 경우 | join_deny: 1 | join_member: 미취학아동과 부모님이 함께 가입 | max_limit: None
kor_co_nm: 부림저축은행 | fin_prdt_nm: 톡톡정기적금(비대면) | join_way: 스마트폰 | mtrt_int: - 만기후 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은금리 - 만기후 1개월 초과 : 연 0.25% | spcl_cnd: 없음 | join_deny: 1 | join_member: 개인 | max_limit: None
kor_co_nm: 키움저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점 | mtrt_int: -만기후 1개월 이내 당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율 -만기후 1개월 초과 연 0.2% (신규시점의 보통예금 금리) ※2019년 7월 1일 이후 신규 가입 계좌에 한함. | spcl_cnd: 없음 | join_deny: 1 | join_member: 개인 및 개인사업자 | max_limit: None
kor_co_nm: 키움저축은행 | fin_prdt_nm: e-plus 정기적금 (인터넷뱅킹,스마트뱅킹) | join_way: 인터넷,스마트폰 | mtrt_int: -만기후 1개월 이내 당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율 -만기후 1개월 초과 연 0.2% (신규시점의 보통예금 금리) ※2019년 7월 1일 이후 신규 가입 계좌에 한함. | spcl_cnd: 없음 | join_deny: 1 | join_member: 개인 및 개인사업자 | max_limit: None
kor_co_nm: 키움저축은행 | fin_prdt_nm: SB톡톡정기적금 (비대면) | join_way: 스마트폰 | mtrt_int: -만기후 1개월 이내 당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율 -만기후 1개월 초과 연 0.2% (신규시점의 보통예금 금리) ※2019년 7월 1일 이후 신규 가입 계좌에 한함. | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 키움저축은행 | fin_prdt_nm: 기업 정기적금 | join_way: 영업점 | mtrt_int: -만기후 1개월 이내 당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율 -만기후 1개월 초과 연 0.2% (신규시점의 보통예금 금리) ※2019년 7월 1일 이후 신규 가입 계좌에 한함. | spcl_cnd: 없음 | join_deny: 1 | join_member: 법인 (영리법인,비영리법인) | max_limit: None
kor_co_nm: 키움저축은행 | fin_prdt_nm: e-plus 기업정기적금 (인터넷뱅킹,스마트뱅킹) | join_way: 인터넷,스마트폰 | mtrt_int: -만기후 1개월 이내 당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율 -만기후 1개월 초과 연 0.2% (신규시점의 보통예금 금리) ※2019년 7월 1일 이후 신규 가입 계좌에 한함. | spcl_cnd: 없음 | join_deny: 1 | join_member: 법인 (영리법인,비영리법인) | max_limit: None
kor_co_nm: 삼정저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점 | mtrt_int: -1개월이내: 계약일 당시 약정이율과 계약 만기시 약정이율 중 낮은 이율 -1개월초과: 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 삼정저축은행 | fin_prdt_nm: e-정기적금 | join_way: 인터넷 | mtrt_int: -1개월이내: 계약일 당시 약정이율과 계약 만기시 약정이율 중 낮은 이율 -1개월초과: 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 삼정저축은행 | fin_prdt_nm: s-정기적금 | join_way: 스마트폰 | mtrt_int: -1개월이내: 계약일 당시 약정이율과 계약 만기시 약정이율 중 낮은 이율 -1개월초과: 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 평택저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점 | mtrt_int: 1개월이내→당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율, 1개월 초과 → 보통예금 이율 | spcl_cnd: 해당없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 평택저축은행 | fin_prdt_nm: 정기적금-인터넷 | join_way: 인터넷 | mtrt_int: 1개월이내→당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율, 1개월 초과 → 보통예금 이율 | spcl_cnd: 해당없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 평택저축은행 | fin_prdt_nm: 정기적금-모바일 | join_way: 스마트폰 | mtrt_int: 1개월이내→당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율, 1개월 초과 → 보통예금 이율 | spcl_cnd: 해당없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 안양저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점,인터넷 | mtrt_int: 만기 후 한 달까지 약정금리-현행금리 비교하여 낮은 금리 적용, 이후 0.1% | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 안양저축은행 | fin_prdt_nm: 비대면-정기적금 | join_way: 스마트폰 | mtrt_int: 만기 후 한 달까지 약정금리-현행금리 비교하여 낮은 금리 적용, 이후 0.1% | spcl_cnd: 없음 | join_deny: 1 | join_member: 만19세이상 내국인 개인고객, 본인 스마트폰 소지자, 신분증(주민등록증 또는 운전면허증)소지자, 최근 30일이내 전은행에서 입출금통장 개설내역이 없는 고객, 미국인납세자에 해당하지 않는 고객 | max_limit: None
kor_co_nm: 영진저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점 | mtrt_int: 만기후 1개월이내 해지시 약정이율 적용(가입시점 이율과 만기시점 이율 중 낮은 이율) 만기후 1개월이후 해지시 보통예금금리(0.5%)적용 | spcl_cnd: 계약기간이 1년이상인 정기예금, 정기적금, 신용부금 만기수령액 이하를 1년 이상으로 재예치시 | join_deny: 1 | join_member: 내·외국인 대상 | max_limit: None
kor_co_nm: 영진저축은행 | fin_prdt_nm: e-정기적금 | join_way: 인터넷 | mtrt_int: 만기후 1개월이내 해지시 약정이율 적용(가입시점 이율과 만기시점 이율 중 낮은 이율) 만기후 1개월이후 해지시 보통예금금리(0.5%)적용 | spcl_cnd: 없음 | join_deny: 1 | join_member: 내·외국인 대상 | max_limit: None
kor_co_nm: 영진저축은행 | fin_prdt_nm: m-정기적금 | join_way: 스마트폰 | mtrt_int: 만기후 1개월이내 해지시 약정이율 적용(가입시점 이율과 만기시점 이율 중 낮은 이율) 만기후 1개월이후 해지시 보통예금금리(0.5%)적용 | spcl_cnd: 없음 | join_deny: 1 | join_member: 내·외국인 대상 | max_limit: None
kor_co_nm: 영진저축은행 | fin_prdt_nm: SB톡톡-정기적금 | join_way: 스마트폰 | mtrt_int: 만기후 1개월이내 해지시 약정이율 적용(가입시점 이율과 만기시점 이율 중 낮은 이율) 만기후 1개월이후 해지시 보통예금금리(0.5%)적용 | spcl_cnd: 없음 | join_deny: 1 | join_member: 내·외국인 대상 | max_limit: None
kor_co_nm: 영진저축은행 | fin_prdt_nm: 자유적립예금 | join_way: 영업점 | mtrt_int: 만기후 1개월이내 해지시 약정이율 적용(가입시점 이율과 만기시점 이율 중 낮은 이율) 만기후 1개월이후 해지시 보통예금금리(0.5%)적용 | spcl_cnd: 계약기간이 1년이상인 정기예금, 정기적금, 신용부금 만기수령액 이하를 1년 이상으로 재예치시 | join_deny: 1 | join_member: 내·외국인 대상 | max_limit: None
kor_co_nm: 융창저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점 | mtrt_int: - 만기 후 1개월 이하: 적금 계좌의 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율 적용 - 만기 후 1개월 초과:0.2% | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 융창저축은행 | fin_prdt_nm: e정기적금 | join_way: 인터넷,스마트폰 | mtrt_int: - 만기 후 1개월 이하: 적금 계좌의 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율 적용 - 만기 후 1개월 초과:0.2% | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 융창저축은행 | fin_prdt_nm: SB톡톡 정기적금 | join_way: 스마트폰 | mtrt_int: - 만기 후 1개월 이하: 적금 계좌의 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율 적용 - 만기 후 1개월 초과:0.2% | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 세람상호저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점,인터넷,스마트폰 | mtrt_int: 1개월내 : 약정금리와 해당 계약기간의 현행금리 중 낮은 금리  1개월 초과: 보통예금 금리 | spcl_cnd: 인터넷뱅킹, 스마트폰뱅킹 가입 시 우대금리 지급(+0.2~0.3%) | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 세람상호저축은행 | fin_prdt_nm: 비대면 정기적금 | join_way: None | mtrt_int: 1개월내 : 약정금리와 해당 계약기간의 현행금리 중 낮은 금리  1개월 초과: 보통예금 금리 | spcl_cnd: - | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 세람상호저축은행 | fin_prdt_nm: 착한운전정기적금 | join_way: 영업점 | mtrt_int: 1개월내 : 약정금리와 해당 계약기간의 현행금리 중 낮은 금리  1개월 초과: 보통예금 금리 | spcl_cnd: 조건에 따른 우대금리[최저0.5%~최고1.0%] -착한운전마일리지 신청자, 저공해차량 운전자, 전기차운전자, 수소차운전자, 장애인차량운전자 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 세람상호저축은행 | fin_prdt_nm: 행복나눔정기적금 | join_way: 영업점 | mtrt_int: 1개월내 : 약정금리와 해당 계약기간의 현행금리 중 낮은 금리  1개월 초과: 보통예금 금리 | spcl_cnd: 조건에 따른 우대금리[최저0.5%~최고1.0%] -자원봉사자, 헌혈자 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 세람상호저축은행 | fin_prdt_nm: 내가디자인하는적금 | join_way: 영업점 | mtrt_int: 1개월내 : 약정금리와 해당 계약기간의 현행금리 중 낮은 금리  1개월 초과: 보통예금 금리 | spcl_cnd: 해당 적용조건에 따른 우대금리 제공[0.1% ~ 0.5%] -정기예금 이용 -첫번째 적금 가입 -고객등록5년이상 -2인이상 동반가입 -다자녀(3인)를 두신 -올해의 띠 -60세 이상 -계약기간 24개월 이상 -계약기간36개월 이상 -자동만기재예치 고객 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 페퍼저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점 | mtrt_int: * 만기 후 1개월 이내 기간 : 최종 이율과 만기 시점 동일 상품 동일 계약기간의 신규 약정금리 중 낮은 금리를 적용 * 만기 후 1개월 초과 이후 기간 : 보통예금 이율(연 0.50%) 적용 | spcl_cnd: 우대사항 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 페퍼저축은행 | fin_prdt_nm: 정기적금 (인터넷,스마트,비대면) | join_way: 인터넷,스마트폰 | mtrt_int: * 만기 후 1개월 이내 기간 : 최종 이율과 만기 시점 동일 상품 동일 계약기간의 신규 약정금리 중 낮은 금리를 적용 * 만기 후 1개월 초과 이후 기간 : 보통예금 이율(연 0.50%) 적용 | spcl_cnd: 우대사항 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 페퍼저축은행 | fin_prdt_nm: 페퍼스2030적금 (디지털페퍼앱) | join_way: 스마트폰 | mtrt_int: -만기 후 1개월 이내 기간 : 당초 기본이율과 만기 시점 동일 상품 동일 계약기간의 신규 약정금리 중 낮은 금리를 적용  -만기 후 1개월 초과 이후 기간 : 보통예금 이율(연 0.50%) 적용  -납입지연,만기앞당김 이율 : 기간별 가입당일 약정이율 적용 | spcl_cnd: -우대이율 최고 연1.5%적용(우대금리는 만기해지에 한해 조건충족시 적용) 조건1)당행 입출금계좌에서 페퍼스2030적금 계좌로 6회이상 자동이체 시 1.0% 우대  조건2)마케팅 상품서비스 안내(문자,전화 2개항목) 모두 동의 시(신규일부터 만기일까지 유지) 0.5%우대  *조건1,2,는 각각 적용 가능 | join_deny: 1 | join_member: 실명의 개인(1인1계좌, 당행입출금계좌 보유 고객) | max_limit: 300000
kor_co_nm: 페퍼저축은행 | fin_prdt_nm: 페퍼스정기적금 (디지털페퍼앱) | join_way: 스마트폰 | mtrt_int: * 만기 후 1개월 이내 기간 : 최종 이율과 만기 시점 동일 상품 동일 계약기간의 신규 약정금리 중 낮은 금리를 적용 * 만기 후 1개월 초과 이후 기간 : 보통예금 이율(연 0.50%) 적용 | spcl_cnd: 우대사항 없음 | join_deny: 1 | join_member: 실명의 개인 | max_limit: None
kor_co_nm: 페퍼저축은행 | fin_prdt_nm: 페퍼스 펫적금 with 핏펫 | join_way: 스마트폰 | mtrt_int: * 만기 후 1개월 이내 기간 : 당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율 * 만기 후 1개월 초과 이후 기간 : 보통예금 이율 적용 | spcl_cnd: 해당사항 없음 | join_deny: 1 | join_member: 개인고객(1인 1계좌, 당행 입출금 보유고객 중 핏펫 앱에서 로그인 후 쿠폰코드를 수령한 고객) | max_limit: 500000
kor_co_nm: 페퍼저축은행 | fin_prdt_nm: AI Peppers 배구사랑 정기적금 | join_way: 스마트폰 | mtrt_int: *신규가입일 당시 영업점 및 인터넷 홈페이지에 고시한 경과기간별 만기후이자율 적용 *만기 후 이자율 - 1개월 이내 (당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율)  - 1개월 초과 ~ (보통예금 이율) - 납입지연 이율(만기앞당김 이율 기간별 정기적금 기본이율) | spcl_cnd: 우대사항 없음 | join_deny: 1 | join_member: 개인고객(당행 입출금 계좌 보유 고객 중 페퍼스타디움 방문 관람 시 제공된 쿠폰코드를 수령한 고객, 1인1계좌), 쿠폰 유효기간에 한함 | max_limit: 500000
kor_co_nm: 상상인저축은행 | fin_prdt_nm: 뱅뱅뱅 정기적금 | join_way: 스마트폰 | mtrt_int: 연0.1% | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 상상인저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점,인터넷,스마트폰 | mtrt_int: 연0.1% | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 상상인저축은행 | fin_prdt_nm: 비대면 정기적금 | join_way: 스마트폰 | mtrt_int: 연0.1% | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 한화저축은행 | fin_prdt_nm: 한화가족사랑정기적금 | join_way: 영업점 | mtrt_int: - 만기 후 1개월 이하: 만기일 현재 금리 적용 - 만기 후 1개월 초과: 보통예금 이율 | spcl_cnd: - | join_deny: 1 | join_member: 없음 | max_limit: None
kor_co_nm: 한화저축은행 | fin_prdt_nm: e뱅킹정기적금 | join_way: 인터넷,스마트폰 | mtrt_int: - 만기 후 1개월 이하: 만기일 현재 금리 적용 - 만기 후 1개월 초과: 보통예금 이율 | spcl_cnd: - | join_deny: 1 | join_member: 인터넷뱅킹, 스마트폰뱅킹 전용 | max_limit: None
kor_co_nm: 한화저축은행 | fin_prdt_nm: 라이프플러스 정기적금(10만원) | join_way: 인터넷,스마트폰 | mtrt_int: - 만기 후 1개월 이하: 만기일 현재 금리 적용 - 만기 후 1개월 초과: 보통예금 이율 | spcl_cnd: 적금가입 후 캐롯손해보험 자동차보험 가입 필수 | join_deny: 1 | join_member: 적금가입 후 캐롯손해보험 자동차보험 가입 필수 | max_limit: None
kor_co_nm: 한화저축은행 | fin_prdt_nm: 라이프플러스 정기적금(20만원) | join_way: 인터넷,스마트폰 | mtrt_int: - 만기 후 1개월 이하: 만기일 현재 금리 적용 - 만기 후 1개월 초과: 보통예금 이율 | spcl_cnd: 적금가입 후 캐롯손해보험 자동차보험 가입 필수 | join_deny: 1 | join_member: 적금가입 후 캐롯손해보험 자동차보험 가입 필수 | max_limit: None
kor_co_nm: 한화저축은행 | fin_prdt_nm: 라이프플러스 정기적금(30만원) | join_way: 인터넷,스마트폰 | mtrt_int: - 만기 후 1개월 이하: 만기일 현재 금리 적용 - 만기 후 1개월 초과: 보통예금 이율 | spcl_cnd: 적금가입 후 캐롯손해보험 자동차보험 가입 필수 | join_deny: 1 | join_member: 적금가입 후 캐롯손해보험 자동차보험 가입 필수 | max_limit: None
kor_co_nm: 한화저축은행 | fin_prdt_nm: 라이프플러스 정기적금(40만원) | join_way: 인터넷,스마트폰 | mtrt_int: - 만기 후 1개월 이하: 만기일 현재 금리 적용 - 만기 후 1개월 초과: 보통예금 이율 | spcl_cnd: 적금가입 후 캐롯손해보험 자동차보험 가입 필수 | join_deny: 1 | join_member: 적금가입 후 캐롯손해보험 자동차보험 가입 필수 | max_limit: None
kor_co_nm: 한화저축은행 | fin_prdt_nm: e뱅킹정기적금(10만원) | join_way: 인터넷,스마트폰 | mtrt_int: - 만기 후 1개월 이하: 만기일 현재 금리 적용 - 만기 후 1개월 초과: 보통예금 이율 | spcl_cnd: - | join_deny: 1 | join_member: 인터넷뱅킹, 스마트폰뱅킹 전용 | max_limit: None
kor_co_nm: 한화저축은행 | fin_prdt_nm: Mymo 정기적금 | join_way: 스마트폰 | mtrt_int: - 만기 후 1개월 이하: 만기일 현재 금리 적용 - 만기 후 1개월 초과: 보통예금 이율 | spcl_cnd: - | join_deny: 1 | join_member: 자체앱(Mymo) 전용 | max_limit: None
kor_co_nm: CK저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점 | mtrt_int: - 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1% | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: CK저축은행 | fin_prdt_nm: 정기적금(인터넷,모바일,비대면) | join_way: 인터넷,스마트폰 | mtrt_int: - 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1% | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 대명상호저축은행 | fin_prdt_nm: 더 드림 정기적금 | join_way: 영업점 | mtrt_int: - 만기 후 1개월 이하: 약정금리와 동일한 금리 적용 - 만기 후 1개월 초과: 보통예금이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 누구나가입가능 | max_limit: None
kor_co_nm: 대명상호저축은행 | fin_prdt_nm: 자유적립식예금 | join_way: 영업점 | mtrt_int: - 만기 후 1개월 이하: 약정금리와 동일한 금리 적용 - 만기 후 1개월 초과: 보통예금이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 누구나가입가능 | max_limit: 50000000
kor_co_nm: 대명상호저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점 | mtrt_int: - 만기 후 1개월 이하: 약정금리와 동일한 금리 적용 - 만기 후 1개월 초과: 보통예금이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 누구나가입가능 | max_limit: None
kor_co_nm: 우리금융저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점 | mtrt_int: *만기 후 1개월 이내: 가입 시 약정이율과 만기 시 판매이율 중 낮은금리 적용 *1개월 초과 시 : 연0.3% *2019.07.01. 이후 가입분 부터적용.이전가입분은 연0.3% | spcl_cnd: 인터넷/스마트폰뱅킹 가입시 0.1% 우대 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 우리금융저축은행 | fin_prdt_nm: e-정기적금 | join_way: 인터넷,스마트폰 | mtrt_int: *만기 후 1개월 이내: 가입 시 약정이율과 만기 시 판매이율 중 낮은금리 적용 *1개월 초과 시 : 연0.3% *2019.07.01. 이후 가입분 부터적용.이전가입분은 연0.3% | spcl_cnd: - | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 청주저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점 | mtrt_int: 1개월이내 : 만기시 동일사품 동일계약기간의 신규 약정금리 1개월초과 : 보통예금이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 청주저축은행 | fin_prdt_nm: 정기적금(온라인) | join_way: 인터넷,스마트폰 | mtrt_int: 1개월이내 : 만기시 동일사품 동일계약기간의 신규 약정금리 1개월초과 : 보통예금이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 청주저축은행 | fin_prdt_nm: 펫팸정기적금_천안지점 | join_way: 영업점 | mtrt_int: 1개월이내 : 만기시 동일사품 동일계약기간의 신규 약정금리 1개월초과 : 보통예금이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 반려동물을 키우는 지점방문고객(개인) | max_limit: None
kor_co_nm: 한성저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점 | mtrt_int: - 만기후 1개월이내 : 가입시점 약정이율과 만기시점 현행이율 중 낮은이율 적용 - 만기후 1개월초과 : 만기후 1개월 초과시점의 보통예금 이율 적용 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 한성저축은행 | fin_prdt_nm: e-정기적금 | join_way: 인터넷 | mtrt_int: - 만기후 1개월이내 : 가입시점 약정이율과 만기시점 현행이율 중 낮은이율 적용 - 만기후 1개월초과 : 만기후 1개월 초과시점의 보통예금 이율 적용 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 한성저축은행 | fin_prdt_nm: m-정기적금 | join_way: 스마트폰 | mtrt_int: - 만기후 1개월이내 : 가입시점 약정이율과 만기시점 현행이율 중 낮은이율 적용 - 만기후 1개월초과 : 만기후 1개월 초과시점의 보통예금 이율 적용 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 상상인플러스저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점 | mtrt_int: 만기후 1개월 이내 : 최초 약정이율과 해지 시점 이율 비교 후 낮은금리 적용 만기후 1개월 이후 : 보통예금 이율 적용(연 0.1%) | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 상상인플러스저축은행 | fin_prdt_nm: e-정기적금 | join_way: 인터넷,스마트폰 | mtrt_int: 만기후 1개월 이내 : 최초 약정이율과 해지 시점 이율 비교 후 낮은금리 적용 만기후 1개월 이후 : 보통예금 이율 적용(연 0.1%) | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
