kor_co_nm: 애큐온저축은행 | fin_prdt_nm: 정기예금 | join_way: 영업점,인터넷,스마트폰,전화(텔레뱅킹) | mtrt_int: 만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용) 만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용) | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 유안타저축은행 | fin_prdt_nm: 회전정기예금 (변동금리) | join_way: 영업점 | mtrt_int: 만기후 1개월이하: 약정금리와 현행금리 중 낮은 금리 만기후 1개월초과: 현행 보통예금금리 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 유안타저축은행 | fin_prdt_nm: SB톡톡 정기예금 (비대면) | join_way: 스마트폰 | mtrt_int: 만기후 1개월이하: 약정금리와 현행금리 중 낮은 금리 만기후 1개월초과: 현행 보통예금금리 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 유안타저축은행 | fin_prdt_nm: e-회전정기예금 (변동금리) | join_way: 인터넷,스마트폰 | mtrt_int: 만기후 1개월이하: 약정금리와 현행금리 중 낮은 금리 만기후 1개월초과: 현행 보통예금금리 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 유안타저축은행 | fin_prdt_nm: SB톡톡 회전정기예금 (비대면) | join_way: 스마트폰 | mtrt_int: 만기후 1개월이하: 약정금리와 현행금리 중 낮은 금리 만기후 1개월초과: 현행 보통예금금리 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 고려저축은행 | fin_prdt_nm: 정기예금 | join_way: 영업점 | mtrt_int: *2019.06.30 가입분까지 만기시점 보통예금이자율(현재0.1%) *2019.07.01 가입분부터  1개월이내: 당초 약정금리와 만기시 동일상품 동일계약기간의 신규약정금리 중 낮은이율 1개월초과: 보통예금이자율(현재0.1%) | spcl_cnd: - | join_deny: 1 | join_member: 비거주 외국인 외 제한없음 | max_limit: None
kor_co_nm: 고려저축은행 | fin_prdt_nm: 정기예금(비대면) | join_way: 인터넷,스마트폰 | mtrt_int: *2019.06.30 가입분까지 만기시점 보통예금이자율(현재0.1%) *2019.07.01 가입분부터  1개월이내: 당초 약정금리와 만기시 동일상품 동일계약기간의 신규약정금리 중 낮은이율 1개월초과: 보통예금이자율(현재0.1%) | spcl_cnd: - | join_deny: 1 | join_member: 비거주 외국인 외 제한없음 | max_limit: None
kor_co_nm: 고려저축은행 | fin_prdt_nm: 회전정기예금 | join_way: 영업점 | mtrt_int: *2019.06.30 가입분까지 만기시점 보통예금이자율(현재0.1%) *2019.07.01 가입분부터  1개월이내: 당초 약정금리와 만기시 동일상품 동일계약기간의 신규약정금리 중 낮은이율 1개월초과: 보통예금이자율(현재0.1%) | spcl_cnd: - | join_deny: 1 | join_member: 비거주 외국인 외 제한없음 | max_limit: None
kor_co_nm: 고려저축은행 | fin_prdt_nm: 회전정기예금(비대면) | join_way: 인터넷,스마트폰 | mtrt_int: *2019.06.30 가입분까지 만기시점 보통예금이자율(현재0.1%) *2019.07.01 가입분부터  1개월이내: 당초 약정금리와 만기시 동일상품 동일계약기간의 신규약정금리 중 낮은이율 1개월초과: 보통예금이자율(현재0.1%) | spcl_cnd: - | join_deny: 1 | join_member: 비거주 외국인 외 제한없음 | max_limit: None
kor_co_nm: 고려저축은행 | fin_prdt_nm: GPS 정기예금(비대면) | join_way: 인터넷,스마트폰 | mtrt_int: *2019.06.30 가입분까지 만기시점 보통예금이자율(현재0.1%) *2019.07.01 가입분부터  1개월이내: 당초 약정금리와 만기시 동일상품 동일계약기간의 신규약정금리 중 낮은이율 1개월초과: 보통예금이자율(현재0.1%) | spcl_cnd: - | join_deny: 1 | join_member: 비거주 외국인 외 제한없음 | max_limit: None
kor_co_nm: 고려저축은행 | fin_prdt_nm: GPS 회전정기예금(비대면) | join_way: 인터넷,스마트폰 | mtrt_int: *2019.06.30 가입분까지 만기시점 보통예금이자율(현재0.1%) *2019.07.01 가입분부터  1개월이내: 당초 약정금리와 만기시 동일상품 동일계약기간의 신규약정금리 중 낮은이율 1개월초과: 보통예금이자율(현재0.1%) | spcl_cnd: - | join_deny: 1 | join_member: 비거주 외국인 외 제한없음 | max_limit: None
kor_co_nm: 국제저축은행 | fin_prdt_nm: 꿈 찾아 정기예금 | join_way: 영업점 | mtrt_int: 만기후 1개월까지는 계약당시 금리와 만기시점 해당금리를 비교하여 낮은 금리 적용 만기후 1개월 초과 이후로는 보통예금 금리 적용 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 국제저축은행 | fin_prdt_nm: 꿈 찾아 정기예금(비대면) | join_way: 스마트폰 | mtrt_int: 만기후 1개월까지는 계약당시 금리와 만기시점 해당금리를 비교하여 낮은 금리 적용 만기후 1개월 초과 이후로는 보통예금 금리 적용 | spcl_cnd: 없음 | join_deny: 1 | join_member: 만 19세 이상의 개인 | max_limit: 50000000
kor_co_nm: 디에이치저축은행 | fin_prdt_nm: 정기예금 | join_way: 영업점 | mtrt_int: *1개월이하 : 약정이율 범위 내 현행이율 *1개월초과: 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 디에이치저축은행 | fin_prdt_nm: 정기예금(비대면) | join_way: 인터넷,스마트폰 | mtrt_int: *1개월이하 : 약정이율 범위 내 현행이율 *1개월초과: 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 흥국저축은행 | fin_prdt_nm: 정기예금 | join_way: 영업점 | mtrt_int: - 만기 후 1개월 이하: 약정금리와 만기일 현재 정기예금 금리중 낮은 금리 적용 - 만기 후 1개월 초과: 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 흥국저축은행 | fin_prdt_nm: E-정기예금 | join_way: 인터넷 | mtrt_int: - 만기 후 1개월 이하: 약정금리와 만기일 현재 정기예금 금리중 낮은 금리 적용 - 만기 후 1개월 초과: 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 흥국저축은행 | fin_prdt_nm: S-정기예금 | join_way: 스마트폰 | mtrt_int: - 만기 후 1개월 이하: 약정금리와 만기일 현재 정기예금 금리중 낮은 금리 적용 - 만기 후 1개월 초과: 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 흥국저축은행 | fin_prdt_nm: 비대면 정기예금 | join_way: 스마트폰 | mtrt_int: - 만기 후 1개월 이하: 약정금리와 만기일 현재 정기예금 금리중 낮은 금리 적용 - 만기 후 1개월 초과: 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 우리저축은행 | fin_prdt_nm: 정기예금 | join_way: 영업점 | mtrt_int: - 만기 후 1개월 이하: 약정금리와 만기일 현재 정기예금 금리중 낮은 금리 적용 - 만기 후 1개월 초과: 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 우리저축은행 | fin_prdt_nm: 정기예금(비대면) | join_way: 인터넷,스마트폰 | mtrt_int: - 만기 후 1개월 이하: 약정금리와 만기일 현재 정기예금 금리중 낮은 금리 적용 - 만기 후 1개월 초과: 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음(단,미성년자,비거주외국인제외) | max_limit: None
kor_co_nm: 인성저축은행 | fin_prdt_nm: 정기예금 | join_way: 영업점 | mtrt_int: -1개월이내 : 약정이율 -1개월초과 : 보통예금이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: -제한없음 | max_limit: None
kor_co_nm: 인성저축은행 | fin_prdt_nm: e-정기예금 | join_way: 인터넷,스마트폰 | mtrt_int: -1개월이내 : 약정이율 -1개월초과 : 보통예금이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: -만19세이상의 개인 | max_limit: None
kor_co_nm: 인성저축은행 | fin_prdt_nm: 회전정기예금 | join_way: 영업점 | mtrt_int: -1개월이내 : 약정이율 -1개월초과 : 보통예금이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: -제한없음 | max_limit: None
kor_co_nm: 인성저축은행 | fin_prdt_nm: e-회전정기예금 | join_way: 인터넷,스마트폰 | mtrt_int: -1개월이내 : 약정이율 -1개월초과 : 보통예금이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: -만19세이상의 개인 | max_limit: None
kor_co_nm: 금화저축은행 | fin_prdt_nm: 정기예금 | join_way: 영업점 | mtrt_int: ① 만기 후 1개월 이내 : 약정금리 ② 만기 후 1개월 초과 : 보통예금 이율 (0.2%) | spcl_cnd: 창구전용상품 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 금화저축은행 | fin_prdt_nm: e-정기예금 | join_way: 인터넷,스마트폰 | mtrt_int: ① 만기 후 1개월 이내 : 약정금리 ② 만기 후 1개월 초과 : 보통예금 이율 (0.2%) | spcl_cnd: - | join_deny: 1 | join_member: 인터넷 및 모바일뱅킹 사용자 | max_limit: None
kor_co_nm: 금화저축은행 | fin_prdt_nm: 비대면-정기예금 | join_way: 스마트폰 | mtrt_int: ① 만기 후 1개월 이내 : 약정금리 ② 만기 후 1개월 초과 : 보통예금 이율 (0.2%) | spcl_cnd: - | join_deny: 1 | join_member: 비대면 어플사용자 | max_limit: None
kor_co_nm: 금화저축은행 | fin_prdt_nm: 회전정기예금(1년단위,변동금리) | join_way: 영업점 | mtrt_int: ① 만기 후 1개월 이내 : 최종회전금리와 만기시 동일상품 신규 약정금리 중 낮은 금리 ② 만기 후 1개월 초과 : 보통예금 이율 (0.2%) | spcl_cnd: 창구전용상품 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 금화저축은행 | fin_prdt_nm: e-회전정기예금(1년단위,변동금리) | join_way: 인터넷,스마트폰 | mtrt_int: ① 만기 후 1개월 이내 : 최종회전금리와 만기시 동일상품 신규 약정금리 중 낮은 금리 ② 만기 후 1개월 초과 : 보통예금 이율 (0.2%) | spcl_cnd: - | join_deny: 1 | join_member: 인터넷 및 모바일뱅킹 사용자 | max_limit: None
kor_co_nm: 인천저축은행 | fin_prdt_nm: 정기예금 | join_way: 영업점 | mtrt_int: *만기후 1개월이내 : 최초약정이율 *만기 1개월이후 : 연0.1% | spcl_cnd: 창구전용상품 | join_deny: 1 | join_member: 누구나가입가능 | max_limit: None
kor_co_nm: 인천저축은행 | fin_prdt_nm: 정기예금 | join_way: 영업점 | mtrt_int: 1. 1개월이내 : 최초약정이율 / 2. 1개월초과 : 연 0.1% | spcl_cnd: 창구전용상품 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 인천저축은행 | fin_prdt_nm: e-보다 정기예금 | join_way: 인터넷,스마트폰 | mtrt_int: 1. 1개월이내 : 최초약정이율 / 2. 1개월초과 : 연 0.1% | spcl_cnd: 인터넷뱅킹 전용상품 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 인천저축은행 | fin_prdt_nm: 회전정기예금 | join_way: 영업점 | mtrt_int: 1. 1개월이내 : 만기시점 동일상품 신규 약정금리 / 2. 1개월초과 : 연 0.1% | spcl_cnd: 창구전용상품 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 인천저축은행 | fin_prdt_nm: e-보다회전정기예금 | join_way: 인터넷,스마트폰 | mtrt_int: 1. 1개월이내 : 만기시점 동일상품 신규 약정금리 / 2. 1개월초과 : 연 0.1% | spcl_cnd: 인터넷뱅킹 전용상품 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 모아저축은행 | fin_prdt_nm: 정기예금 | join_way: 영업점 | mtrt_int: 1. 만기 후 1개월 이내 : 당초 약정이율과 만기시점 동일상품 동일기간제 금리 중 낮은 금리 / 2. 만기 후 1개월 초과 : 신규일 시점의 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 모아저축은행 | fin_prdt_nm: e-모아 정기예금 | join_way: 인터넷,스마트폰 | mtrt_int: 1. 만기 후 1개월 이내 : 당초 약정이율과 만기시점 동일상품 동일기간제 금리 중 낮은 금리 / 2. 만기 후 1개월 초과 : 신규일 시점의 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 모아저축은행 | fin_prdt_nm: 회전 정기예금 | join_way: 영업점 | mtrt_int: 1. 만기 후 1개월 이내 : 당초 약정이율과 만기시점 동일상품 동일기간제 금리 중 낮은 금리 / 2. 만기 후 1개월 초과 : 신규일 시점의 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 모아저축은행 | fin_prdt_nm: e-회전 정기예금 | join_way: 인터넷,스마트폰 | mtrt_int: 1. 만기 후 1개월 이내 : 당초 약정이율과 만기시점 동일상품 동일기간제 금리 중 낮은 금리 / 2. 만기 후 1개월 초과 : 신규일 시점의 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 모아저축은행 | fin_prdt_nm: 앱전용 회전 정기예금 | join_way: 스마트폰 | mtrt_int: - 만기 후 1개월 이내 : 당초 약정이율과 만기시점 동일상품 동일기간제 금리 중 낮은 금리 - 만기 후 1개월 초과 : 신규일 시점의 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 모아저축은행 | fin_prdt_nm: 앱전용 6개월 회전 정기예금 | join_way: 스마트폰 | mtrt_int: - 만기 후 1개월 이내 : 당초 약정이율과 만기시점 동일상품 동일기간제 금리 중 낮은 금리 - 만기 후 1개월 초과 : 신규일 시점의 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 대백저축은행 | fin_prdt_nm: 정기예금 | join_way: 영업점 | mtrt_int: 1개월이내-약정이율과 현행이율중 낮은이율 1개월 초과-보통예금이율(0.2%) | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 대백저축은행 | fin_prdt_nm: 애플정기예금 | join_way: 인터넷,스마트폰 | mtrt_int: 1개월이내-약정이율과 현행이율중 낮은이율 1개월 초과-보통예금이율(0.2%) | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 유니온상호저축은행 | fin_prdt_nm: 정기예금 | join_way: 영업점 | mtrt_int: * 1개월 이내 : 약정이율과 현행이율 중에 낮은 금리  * 1개월 초과 : 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 유니온상호저축은행 | fin_prdt_nm: e-정기예금 | join_way: 인터넷,스마트폰 | mtrt_int: * 1개월 이내 : 약정이율과 현행이율 중에 낮은 금리  * 1개월 초과 : 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 엠에스상호저축은행 | fin_prdt_nm: 정기예금 | join_way: 영업점 | mtrt_int: - 1개월내 : 당초 약정금리와 당초 약정기간에 해당하는 현행금리 중 낮은 금리 - 1개월이후 : 보통예금이자율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 엠에스상호저축은행 | fin_prdt_nm: e-정기예금 | join_way: 인터넷,스마트폰 | mtrt_int: - 1개월내 : 당초 약정금리와 당초 약정기간에 해당하는 현행금리 중 낮은 금리 - 1개월이후 : 보통예금이자율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 인터넷뱅킹 및 스마트폰 뱅킹 신청자 | max_limit: None
kor_co_nm: 안국저축은행 | fin_prdt_nm: 정기예금 | join_way: 영업점 | mtrt_int: 1.만기후 1개월 이내 : 신규시점 해당 정기예금 이율 적용 (단, 신규시점이율과 만기시점이율을 비교하여 낮은금리적용), 만기후 1개월 이후 : 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 안국저축은행 | fin_prdt_nm: e-정기예금 | join_way: 인터넷,스마트폰 | mtrt_int: 1.만기후 1개월 이내 : 신규시점 해당 정기예금 이율 적용 (단, 신규시점이율과 만기시점이율을 비교하여 낮은금리적용), 만기후 1개월 이후 : 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 안국저축은행 | fin_prdt_nm: 정기예금(비대면) | join_way: 스마트폰 | mtrt_int: 1.만기후 1개월 이내 : 신규시점 해당 정기예금 이율 적용 (단, 신규시점이율과 만기시점이율을 비교하여 낮은금리적용), 만기후 1개월 이후 : 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 남양저축은행 | fin_prdt_nm: 정기예금 | join_way: 영업점 | mtrt_int: 만기 후 한 달까지 약정금리-현행금리 비교하여 낮은 금리 적용, 이후 0.1% | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 남양저축은행 | fin_prdt_nm: e-정기예금 | join_way: 인터넷,스마트폰 | mtrt_int: 만기 후 한 달까지 약정금리-현행금리 비교하여 낮은 금리 적용, 이후 0.1% | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 남양저축은행 | fin_prdt_nm: 비대면-정기예금 | join_way: 스마트폰 | mtrt_int: 만기 후 한 달까지 약정금리-현행금리 비교하여 낮은 금리 적용, 이후 0.1% | spcl_cnd: 없음 | join_deny: 1 | join_member: 만19세이상 내국인 개인고객, 본인 스마트폰 소지자, 신분증(주민등록증 또는 운전면허증)소지자, 미국인 납세자에 해당하지 않는 고객 | max_limit: None
kor_co_nm: 부림저축은행 | fin_prdt_nm: 정기예금 | join_way: 영업점 | mtrt_int: - 만기후 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은금리 - 만기후 1개월 초과 : 연 0.25% | spcl_cnd: 없음 | join_deny: 1 | join_member: 개인 및 법인고객 | max_limit: None
kor_co_nm: 부림저축은행 | fin_prdt_nm: 톡톡정기예금(비대면) | join_way: 인터넷,스마트폰 | mtrt_int: - 만기후 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은금리 - 만기후 1개월 초과 : 연 0.25% | spcl_cnd: 없음 | join_deny: 1 | join_member: 개인고객 | max_limit: None
kor_co_nm: 키움저축은행 | fin_prdt_nm: 정기예금 | join_way: 영업점 | mtrt_int: -만기후 1개월 이내 당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율 -만기후 1개월 초과 연 0.2% (신규시점의 보통예금 금리) ※2019년 7월 1일 이후 신규 가입 계좌에 한함. | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 키움저축은행 | fin_prdt_nm: e-plus정기예금 (인터넷뱅킹,스마트뱅킹) | join_way: 인터넷,스마트폰 | mtrt_int: -만기후 1개월 이내 당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율 -만기후 1개월 초과 연 0.2% (신규시점의 보통예금 금리) ※2019년 7월 1일 이후 신규 가입 계좌에 한함. | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 키움저축은행 | fin_prdt_nm: SB톡톡정기예금 (비대면) | join_way: 스마트폰 | mtrt_int: -만기후 1개월 이내 당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율 -만기후 1개월 초과 연 0.2% (신규시점의 보통예금 금리) ※2019년 7월 1일 이후 신규 가입 계좌에 한함. | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 키움저축은행 | fin_prdt_nm: 정기예금(분당지점 창구전용) | join_way: 영업점 | mtrt_int: -만기후 1개월 이내 당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율 -만기후 1개월 초과 연 0.2% (신규시점의 보통예금 금리) ※2019년 7월 1일 이후 신규 가입 계좌에 한함. | spcl_cnd: 없음 | join_deny: 1 | join_member: 분당지점방문고객(타지점불가) | max_limit: None
kor_co_nm: 키움저축은행 | fin_prdt_nm: 회전식정기예금 (1년단위 변동금리상품) | join_way: 영업점 | mtrt_int: -만기후 1개월 이내 최종회전금리 또는 만기시 동일상품 신규금리 중 낮은 이율 -만기후 1개월 초과 연 0.2% (신규시점의 보통예금 금리) | spcl_cnd: *회전시점 고시된 12개월 정기예금금리 + 우대금리 0.1%로 자동연장되는 변동금리상품(1년단위 확정금리). 중도해지시 충족한 회전기간은 약정이율, 미충족기간에 대해서만 중도해지 이율 적용. | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 키움저축은행 | fin_prdt_nm: 비대면 회전식정기예금 (1년단위 변동금리상품) | join_way: 인터넷,스마트폰 | mtrt_int: -만기후 1개월 이내 최종회전금리 또는 만기시 동일상품 신규금리 중 낮은 이율 -만기후 1개월 초과 연 0.2% (신규시점의 보통예금 금리) | spcl_cnd: *회전시점 고시된 12개월 정기예금금리 + 우대금리 0.1%로 자동연장되는 변동금리상품(1년단위 확정금리). 중도해지시 충족한 회전기간은 약정이율, 미충족기간에 대해서만 중도해지 이율 적용. | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 키움저축은행 | fin_prdt_nm: SB톡톡 회전식정기예금(비대면) (1년단위 변동금리상품) | join_way: 스마트폰 | mtrt_int: -만기후 1개월 이내 최종회전금리 또는 만기시 동일상품 신규금리 중 낮은 이율 -만기후 1개월 초과 연 0.2% (신규시점의 보통예금 금리) | spcl_cnd: *회전시점 고시된 12개월 정기예금금리 + 우대금리 0.1%로 자동연장되는 변동금리상품(1년단위 확정금리). 중도해지시 충족한 회전기간은 약정이율, 미충족기간에 대해서만 중도해지 이율 적용. | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 키움저축은행 | fin_prdt_nm: 회전식정기예금 (1년단위 변동금리상품)(분당지점 창구전용) | join_way: 영업점 | mtrt_int: -만기후 1개월 이내 최종회전금리 또는 만기시 동일상품 신규금리 중 낮은 이율 -만기후 1개월 초과 연 0.2% (신규시점의 보통예금 금리) | spcl_cnd: *회전시점 고시된 12개월 정기예금금리 + 우대금리 0.1%로 자동연장되는 변동금리상품(1년단위 확정금리). 중도해지시 충족한 회전기간은 약정이율, 미충족기간에 대해서만 중도해지 이율 적용. | join_deny: 1 | join_member: 분당지점방문고객(타지점불가) | max_limit: None
kor_co_nm: 키움저축은행 | fin_prdt_nm: 회전식정기예금 (6개월단위 변동금리상품) (분당지점 창구전용) | join_way: 영업점 | mtrt_int: -만기후 1개월 이내 최종회전금리 또는 만기시 동일상품 신규금리 중 낮은 이율 -만기후 1개월 초과 연 0.2% (신규시점의 보통예금 금리) | spcl_cnd: *회전시점 고시된 6개월 정기예금금리로 자동연장되는 변동금리상품(6개월단위 확정금리). 중도해지시 충족한 회전기간은 약정이율, 미충족기간에 대해서만 중도해지 이율 적용. | join_deny: 1 | join_member: 분당지점방문고객(타지점불가) | max_limit: None
kor_co_nm: 키움저축은행 | fin_prdt_nm: 회전식정기예금 (6개월단위 변동금리상품) | join_way: 영업점 | mtrt_int: -만기후 1개월 이내 최종회전금리 또는 만기시 동일상품 신규금리 중 낮은 이율 -만기후 1개월 초과 연 0.2% (신규시점의 보통예금 금리) | spcl_cnd: *회전시점 고시된 6개월 정기예금금리로 자동연장되는 변동금리상품(6개월단위 확정금리). 중도해지시 충족한 회전기간은 약정이율, 미충족기간에 대해서만 중도해지 이율 적용. | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 키움저축은행 | fin_prdt_nm: 비대면 회전식정기예금 (6개월단위 변동금리상품) | join_way: 인터넷,스마트폰 | mtrt_int: -만기후 1개월 이내 최종회전금리 또는 만기시 동일상품 신규금리 중 낮은 이율 -만기후 1개월 초과 연 0.2% (신규시점의 보통예금 금리) | spcl_cnd: *회전시점 고시된 6개월 정기예금금리로 자동연장되는 변동금리상품(6개월단위 확정금리). 중도해지시 충족한 회전기간은 약정이율, 미충족기간에 대해서만 중도해지 이율 적용. | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 키움저축은행 | fin_prdt_nm: SB톡톡 회전식정기예금 (비대면) (6개월단위 변동금리상품) | join_way: 스마트폰 | mtrt_int: -만기후 1개월 이내 최종회전금리 또는 만기시 동일상품 신규금리 중 낮은 이율 -만기후 1개월 초과 연 0.2% (신규시점의 보통예금 금리) | spcl_cnd: *회전시점 고시된 6개월 정기예금금리로 자동연장되는 변동금리상품(6개월단위 확정금리). 중도해지시 충족한 회전기간은 약정이율, 미충족기간에 대해서만 중도해지 이율 적용. | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 삼정저축은행 | fin_prdt_nm: 정기예금 | join_way: 영업점 | mtrt_int: -1개월이내:계약일 당시 약정이율과 계약 만기시 약정이율 중 낮은이율 -1개월초과:보통예금 이율 | spcl_cnd: 재예치 우대:0.1% (1년이상 예치한 정기예.적금을 1년이상 정기예금으로 재예치시 적용) | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 삼정저축은행 | fin_prdt_nm: e-정기예금 | join_way: 인터넷 | mtrt_int: -1개월이내:계약일 당시 약정이율과 계약 만기시 약정이율 중 낮은이율 -1개월초과:보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 삼정저축은행 | fin_prdt_nm: s-정기예금 | join_way: 스마트폰 | mtrt_int: -1개월이내:계약일 당시 약정이율과 계약 만기시 약정이율 중 낮은이율 -1개월초과:보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 평택저축은행 | fin_prdt_nm: 정기예금 | join_way: 영업점 | mtrt_int: 1개월이내→당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율 , 1개월초과→ 보통예금 이율 | spcl_cnd: 해당사항 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 평택저축은행 | fin_prdt_nm: 정기예금- 인터넷 | join_way: 인터넷 | mtrt_int: 1개월이내→당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율 , 1개월초과→ 보통예금 이율 | spcl_cnd: 해당사항 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 평택저축은행 | fin_prdt_nm: 정기예금 - 모바일 | join_way: 스마트폰 | mtrt_int: 1개월이내→당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율 , 1개월초과→ 보통예금 이율 | spcl_cnd: 해당사항 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 안양저축은행 | fin_prdt_nm: 정기예금 | join_way: 영업점,인터넷 | mtrt_int: 만기 후 한 달까지 약정금리-현행금리 비교하여 낮은 금리 적용, 이후 0.1% | spcl_cnd: ①가입기간 12개월 이상이면서 계약금액 10억이상(개인/법인/단체/가족합산) | join_deny: 1 | join_member: 제한없음 | max_limit: None
